entity,type
Petipa-Iwanow,LOC
Petrograd,LOC
Pfauentheater,LOC;ORG
Pfrundhaus,LOC
Philippe Saire,PER
Phänomenal,MISC
Pia,PER
Pia Mlakar,PER
Pianist,DANC
Picasso,PER
Pina,PER
Pina Bausch,PER
Pina Pausch,PER
Pino Mlakar,PER
Pirouette,MOV
Plastik-Sichtmappen,LOC
Platel,MISC;PER
Platzierung,MOV
Platzprobleme,PROC
Politik,PROC
Polnisch,MISC
Pontormo,PER
Pop,STYL
Popescu,PER
Portrait-Ordner,MISC
Porträt,JOUR
Portugiesen,LOC
Postmoderne,STYL
Potifar,LOC
Prag,LOC
Premiere,DANC
Presse,JOUR
Pressedossier,JOUR
Pressefrau,LOC
Preston-Dunlop,PER
Pretoria,LOC
Prinz,PER
Prix Benois,MISC
Prix de Lausanne,MISC
Prix de Nyon,MISC
Pro Helvetia,ORG
Pro Helvetia Hefte,ORG
ProTanz,ORG
Probe,PROC
Probieren!,MISC
Produktion,DANC
Produktionsbedingungen,PROC
Programm,JOUR
Programmheft,PROC;DANC
Prokofiev,PER
Präsenz,MOV
Pseudo-Rekonstruktionen,MISC
Psychologietests,PER
Publikation,JOUR
Publikationsorgane,MISC
Publikum,PROC
Punkte,MOV
Puppenfee,MISC
Quellen,PROC
R/K,MISC
REISEN,MISC
RIESIGEN,ORG
Ragaz,LOC
Rat,PROC
Ratmanski,MISC;PER
Ratmansky,MISC;PER
"Ratmansky-""Schwanensee",LOC
Raumharmonie,PER
Raumharmonielehre,LOC
Raumtheater,MISC
Raumwegen,LOC
Rausch,DANC
Raymonda,LOC;PER
Recherche,PROC
Redaktion,JOUR
Redaktionsstelle,JOUR
Reformations Sinfonie,MISC
Reformkolonie,LOC
Regelmässigkeiten,MISC
Regina Christen,PER
Reich der Schatten,MISC
Reihentanz,STYL
Rein,PER
Reine,LOC
Reitseile,MISC
Reklame,JOUR
Rekonstruktion,PROC
Religion,DANC
Renzo Piano,PER
Repertoire,DANC
Republik Kongo,LOC
Requiem,STYL
Respekt,DANC
Ressort,JOUR
Ressource,PROC
Rezept,PROC
Rhein,LOC
Rhodesien,LOC
Rhythmik,DANC
Rhythmik-Seminar,MISC
Rhythmus,MOV
Riccardo Duse,PER
Richard,PER
Richard Merz,PER
Richtungswechsel,DANC
Rieckmann,PER
Rigiblick,LOC
Rink,PER
Robbins,PER
Rock,STYL
Rock the Ballet,ORG
Roger Georg,PER
Roger George,PER
Roger GeorgeNachlass,MISC
Rokoko-artig,MISC
Rolle,DANC
Rolleneinteilungen,MISC
Romane,STYL
Romantik,STYL
Romeo,MISC;PER
Rondal,LOC
Rosalia,MISC
Rosalia Chladek,PER
Rosenkavalier,PER
Rossi,PER
Rot und Schwarz,MISC
Rote Fabrik,ORG
Roten Fabrik,ORG
Routine,PROC
Ruanda,LOC
Rudolf Nurejew,PER
Rudolf von Laban,PER
Russen,MISC
Russes-Tänzer,MISC
Russisch,MISC
Russistik,PER
Russland,LOC
Ruvina,LOC
Rämibühl,LOC
Rämisstrasse,MISC
Röden,LOC
Röthlisberger,ORG
Rücken,BODY
Rüdenplatz,LOC
SAFFA,ORG
SAPA,LOC;MISC;ORG
SBBS,LOC;ORG
SBTG,MISC;ORG
SCHREIBEN,PROC
SEHR,MISC
SEIN Buch,MISC
SICHER,ORG
SIE,LOC
SO,LOC;ORG
SONST,MISC
SPÄTER,ORG
STEHEN,MOV
Saaltexte,LOC
Sacharoff,LOC;PER
Sacharoff-Stücke,LOC
Sackgeld,PER
Sacre,LOC;ORG
Sacre du Printemps,MISC;ORG
Safari,MISC
Saint-Léon,LOC;PER
Saint-Saëns’,PER
Samarkand,LOC
Samson und Dalila,MISC
Samstag-Morgen,MISC
Sandra Warfield,PER
Sarah Jane,PER
Scala,LOC
Schaffhausen,LOC
Schatzalp,LOC
Schaupielhaus,LOC
Schauspiel,STYL
Schauspielhaus,LOC
Schild Rämistrasse 3,LOC
Schiller,PER
Schläpfer,PER
Schockstarre,MISC
Scholz,LOC;PER
Scholz da,LOC
Schreiben,PROC
Schreibrausch,PROC
Schreibzustand,PROC
Schriftstellerei,STYL
Schritt,MOV
Schubert,PER
Schule,PROC
Schulpräsentationen,PER
Schwanensee,MISC;PER
"Schwanensee""-Aufführung",MISC
"Schwanensee""-Lektionen",MISC
Schwarzafrikaner,LOC
Schweden,LOC
Schweiz,LOC
Schweizer,MISC
Schweizer Nationalballett,ORG
Schweizer Tanzarchiv,ORG
Schweizer Theaterlexikon,MISC
Schweizer Theaterlexikongearbeitet,MISC
Schweizer Theatersammlungen,ORG
Schweizerin,MISC
Schweizerisch,LOC
Schweizerische,MISC
Schweizerische Ballettberufsschule,ORG
Schweizerische Berufsverband für Tanz und Gymnastik,ORG
Schweizerische Frauenausstellung,ORG
Schweizerischen Bund,ORG
Schweizerischen Gesellschaft für Theaterkultur,ORG
Schweizerischen Tanzarchiv,ORG
Schweizerisches,MISC
Schweizern,LOC
Schwere,DANC
Schwerttanz,LOC
Schwester,PER
Schwester Vroni,PER
Schöck,PER
Schönes,MISC
Schütteltanz,STYL
Seegfrörni,LOC
Seerosen-,MISC
Sek,ORG
Selbstverlag,JOUR
Selbstverständnis,DANC
Selfmade-Man,LOC
Sergejew,PER
Sesenheim,LOC
Short Pieces,MISC
Shortpieces,PER
Show,DANC
Showtanz,STYL
SiViC,ORG
SiWiC,MISC
Sibirien,LOC
Siegmund,PER
Sigurd Leeder,PER
Sigurd Leeder School of Dance,ORG
Simjoneval,PER
Simon Bauer,PER
Simone Aughterlony,PER
Singen,LOC
Singspiel,STYL
Sinn,DANC
Sissi,MISC
Sitzen,MOV
Skala,PROC
Skating Rink,MISC
Skating-Rink-Projekt,LOC
Skoronel,LOC
Sog,MOV
Sohn,PER
Soloabende,PER
Solotänzer,DANC
Soloviëv,LOC
Solveig,MISC
Sommerkursen,LOC
Sophie Taeuber,PER
Sowjetzeit,ORG
Spalte,PROC
Spanier,LOC
Spannung,MOV
Spektakel,DANC
Spielplan,PROC
Spielzeit,PROC
Spirale,MOV
Spitz,LOC
Spitzbergen,LOC
Spitze,BODY
Spitzenschuh,PER
Spoerli,LOC;PER
Sprechtheater,DANC
Sprichst du von Bauer,MISC
Sprung,MOV
Spuck,MISC;PER
Spuck im Nacken,MISC
St. Cuthbert’s,LOC
St. Gallen,LOC
St. Petersburg,LOC
St. Petersburger Klassik,ORG
Staaten,LOC
Stabilität,MOV
Stadelhofen,LOC
Stadt,LOC
Stadt Lausanne,LOC
Stadt Zürich,LOC
Stadthaus,LOC
Stadttheater,LOC
Staiger,PER
Stalin,PER
Statisterie,DANC
Statistik,PROC
Stehen,MOV
Stendal,LOC
Stenografie,PROC
Stepanov,LOC;PER
Stepanov-Notation,LOC
Stepanov-Notationen,MISC
Stepanow-Notation,LOC
Stephanie Jordan,PER
Steps,ORG
Stichwort,PROC
Stijn Celis,PER
Stil,DANC
Stile,PROC
Stimmung,DANC
Strawinsky,PER
Street-Tänzer,MISC
Streetdance,STYL
Struktur,DANC
Stuttgart,LOC
Stuttgarter,MISC
Stuttgarter Balletttage,ORG
Stuttgarter Zeitung,ORG
Stöpsel,LOC
Sudan,LOC
Susana,MISC;PER
Suzanne Perrottet,MISC;PER
Suédoise,MISC
Swanlake,LOC;MISC
Sylphide-Gewand,MISC
Sylphides,PER
Sylvia Garcia,PER
Sylvie Guillem,PER
Sylvie Guillem-Typ,PER
Symmetrie,MOV
Symposium,PROC
Syrien,LOC
Szene,DANC
Sziget Massin,PER
Szigeti Cecchetti,PER
Sänger,DANC
Sätze,PROC
Säulensachen,LOC
Südafrika,LOC
Südafrikaner,LOC
Südostanatolien,LOC
Südsudan,LOC
Südwestafrika,LOC
TAZ,ORG
TONNENWEISE,ORG
TOTAL,ORG
Tag auf der Bühne,MISC
Tag des Tanzes,MISC
Tag essen,MISC
Tagi,ORG
Tamuté,PER
Tanz,STYL
Tanz in Stücken,MISC
Tanz-November,MISC
TanzKRITIKER,MISC
Tanzarchiv,LOC;ORG;PER
Tanzarchiv Lausanne,ORG
Tanzarchiv Zürich,ORG
Tanzarchivin Lausanne,ORG
Tanzauftritte,PER
Tanzchef,DANC
Tanzchefs,LOC;ORG;PER
Tanzdrama,DANC
Tanzforum,LOC
Tanzfreundin,PER
Tanzgedichte,PER
Tanzgeschichte-Unterricht,MISC
Tanzjournalismus,PER
Tanzkommission,DANC
Tanzkongress,MISC
Tanzkoordination,LOC
Tanzkritiken,ORG
Tanzkritiker,LOC
Tanzkritiker-Papst,MISC
Tanzkritikern,LOC
Tanznetz,MISC
Tanznovember,MISC;PER
Tanzpolitik,DANC
Tanzpreisträger,PER
Tanzproben,PER
Tanzschaffende,LOC;ORG
Tanzschaffenden,MISC;PER
Tanzschauen,LOC
Tanztheaterschule,LOC
Tanzvorstellungen,LOC
Tanzwissenschaft,DANC
Tatjana Gsovsky,PER
Technik,PROC
Teen-Meet,LOC
Tempo,MOV
Tendu,MOV
Terpis,LOC;MISC
Terpis Kreutzberg,LOC
Tessin,LOC
Text,JOUR
Thaddäus Kloster,LOC
The show must go on,MISC
The vertiginous Thrill of Exactitude,MISC
Thea Obenaus,PER
Theater,STYL
Theater 11,LOC
Theater St. Gallen,LOC
Theater Winterthur,LOC
Theater am Stadtgarten,LOC
Theater zu Theater,LOC
Theater-AG,LOC
Theaterballett,STYL
Theaterbestuhlung,PER
Theatergeschichte,JOUR
Theaterleiter,DANC
Theaterlexikon,JOUR
Theaterpolitik,DANC
Theatertanz,STYL
Theatertanzschulen,LOC
Theatertänzer,MISC
Theaterwissenschaft,DANC
Thema,DANC
Theorie,DANC
Théâtre du Châtelet,LOC
Tierpärke,LOC
Tigran,MISC
Timing,MOV
Tina,PER
Tip-Ex,PROC
Titel,PROC
Tollsten,MISC
Tom hast du,MISC
Tonhalle,LOC
Toni Areal,PER
Toni-Areal,MISC
Toni-Areal Zürich,MISC
Tonkünstlerverband,MISC
Total schön,MISC
Tournee,PROC
Tourneetheater,DANC
Tradition,DANC
Training,PROC
Transkei,LOC
Traurig,MISC
Trennung,PROC
Triemli,LOC
Trix Gutekunst,ORG;PER
Trudi Schoop,PER
Tschaikowsky,PER
Tschaikowsky-Ballette,LOC
Tschaikowsky-Klavierkonzert,PER
Tschechisch,MISC
Tschumi,LOC
Turicum,LOC
Tutus,PER
Twyla Tharp,PER
Tänzerisch-schwungvolle,MISC
Tänzerleistungen,MISC
Tänzerpaar,MISC
Töchter-Schule,ORG
Töchterschülerinnen,LOC
Tödi,LOC
UNS,ORG
Uetliberg,LOC
Uganda,LOC
Ulanowa,LOC
Uliza Rossi,PER
Ulla Kasics,PER
Ulm,LOC
Ulrich,PER
Undine,MISC
Unfalldienst-Patienten,ORG
Ungarisch,MISC
Uni Zürich,ORG
Universität,JOUR
Universität Zürich,ORG
Unruhiges,PER
Unterricht,PROC
Untertitel,PROC
Unv.,PER
Uraufführung,DANC
Urfa,LOC
Urgrossvater,MISC
Ursula,PER
Ursula Fraevel,PER
Ursula Frävel,PER
Ursula Pellaton,PER
Ursulas,PER
Usbekistan,LOC
Uwe Scholz,PER
VERÖFFENTLICHTE,ORG
VHS,JOUR
VHS-Kassette,MISC
VIELE,ORG
VOLLSTÄNDIG,LOC
VW Caravan,MISC
Valérie Preston-Dunlop,PER
Van Mannen,PER
Variation,MOV
Variation getanzt,PROC
Vashegyi,LOC
Vaslaw Nijinsky,PER
Venedig,LOC
Vera Skoronel,LOC
Verdi,PER
Verdi-Requiem,ORG
Verletzlichkeit,BODY
Vermicelles,PER
Vermittlung,PROC
Vermittlungsprogramme,MISC
Vernichtendes,PER
Verwaltungsrat,DANC
Video,STYL
Videos,MISC
Vierertakt,MISC
Vierwaldstättersee,LOC
Vimeo,ORG
Vivandière,PER
Vivandière-Pas de Six,MISC
Volksgesang,LOC
Volkskunst,STYL
Volksstanz-Bibliothek,MISC
Volkstanz,STYL
Vorpreschen,MOV
Vorschau,JOUR
Vorstellung,DANC
Vortrag,JOUR
Vorwissen,PROC
Véronique Doisneau,PER
W,LOC;PER
WARUM,ORG
WAS,ORG
WIE,MISC
WIEDER,MISC
WILL,LOC
WIRKLICH,MISC
WO,LOC
WOLLTEN,ORG
Wadi Halfa,LOC
Waganowa,LOC;PER
Waganowa-Akademie,LOC
Waganowa-Ausbildung,MISC
Waganowa-trainiert,PER
Wahrnehmung,DANC
Walzer,STYL
Wandervogel,ORG
Warschau,LOC
Wehrli,PER
Weihnacht,MISC
Weihnachten,MISC
Weihnachtsmärchen,STYL
Weihnachtszeit,MISC
Weil gerade im Tanz,MISC
Weimar,LOC
Weinöhl,LOC
Weisst Du,MISC
Weisst du,MISC
Welscher,MISC
Welscher Gruppe,ORG
Welschland,LOC
Weltgeist,DANC
Welti,PER
Weltrum,ORG
Werk,PROC
Werturteil,DANC
Westend,LOC
Westend-Theater,MISC
Wiederholung,PROC
Wiederkäuer,DANC
Wien,LOC
Wiesenthal,PER
Wieso,LOC;PER
Wieso magst du den,MISC
Wigman,PER
Wikipedia,MISC
Wikipedia-Einträge,MISC
Wild Coast,LOC
Wilhelm Tell,PER
William Forsythe,PER
Willst Du ausmachen?,MISC
Willst du,MISC
Willst du einen Schluck Wasser,MISC
Willy Godlevski,PER
Windhoek,LOC
Winterpalast,LOC
Winterreise,MISC
Winterthur,LOC
Winterthurer,LOC
Winterthurer Zeitung,ORG
Wirtschaft,JOUR
Wolfgang,LOC;ORG;PER
Wolfgang Binder,PER
Wolfgang Brunner,PER
Wolfgang und Eve,MISC
Wollen,MISC
Wollendecke,LOC
Woran,LOC
Wort,PROC
Wunderbar,PER
Währende,PER
Währendem,LOC
Würdest du,MISC
Yen Han,MISC
YouTube,JOUR
Yuresha,PER
ZAUBERHAFTE,ORG
ZB,ORG
ZEIT,MISC
ZHDK,ORG
ZHdK,ORG
Zadie Mayer,PER
Zaire,LOC
Zarenkunst,DANC
Zauberflöte,MISC
Zehn-Minuten-Stücke,LOC
Zeilen,PROC
Zeit,MISC
Zeit der Apartheid,MISC
Zeit der Sommerkurse,MISC
Zeit vom Beriozoff,ORG
Zeit von dem Neuen Tanz,MISC
Zeit von der Romantik,MISC
Zeitschrift,JOUR
Zeitung,JOUR
Zeitungsbusiness,JOUR
Zentralafrika,LOC
Zentraleuropäischer Tanz,STYL
Zentrum,ORG
Zerstückelung,MOV
Zettel,PROC
ZhdK,MISC
Zikkurat,PER
Zimbabwe,LOC
Zoo,LOC
Zufall,PROC
Zugänglichkeit,DANC
Zululand,LOC
Zusammenarbeit,PROC
Zusammenhang,MOV
Zusammenhängendes,LOC
Zweifinger-System,PROC
Zweite Reise,MISC
Zweiten Weltkrieg,MISC
Zweiten Weltkriegs,MISC
Zürcher,MISC
Zürcher Balletts,ORG
Zürcher Landboten,ORG
Zürcher Truppe,ORG
Zürcher Zeit,LOC
Zürcherin,LOC
Züri West,ORG
Züri-Fest,LOC
Züriberg,LOC
Zürich,LOC
Zürichdeutschen Wörterbuch,MISC
Züricher,LOC
Zürichsee Zeitung,ORG
Zürichsee-Zeitung,ORG
abliefern,PROC
abschreiben,PROC
abstrakt,DANC
afrikanische,MISC
afrikanischen,MISC
afrikanisches,MISC
amerikanische,MISC
aneinanderreihen,MOV
anglo-anglikanisches,MISC
anschauen,PROC
arabische,MISC
ausdrucken,PROC
auseinandernehmen,MOV
authentisch,DANC
blitzschnell,MOV
de Lutry,LOC
dem Krieg,MISC
der Schweiz,LOC
derFranz Frautschi,PER
derSpoerli,ORG
derTAZ,ORG
deutsche,MISC
deutschen,MISC
deutscher,MISC
deutschsprachigen,MISC
die Beatles,ORG
differenziert,DANC
diskutieren,PROC
disponieren,PROC
distanziert,PROC
dramatisch,MOV
duzen,PROC
dänische,MISC
eigen,DANC
eigenständig,DANC
einheitlich,DANC
einstimmen,PROC
endlos,MOV
englische,MISC
englischen,MISC
entziffern,PROC
ergriffen,PROC
ersten Weltkrieg,MISC
europäische,MISC
farbig,DANC
finnischen,MISC
formal,DANC
französische,MISC
französischen,MISC
gebunden,PROC
gegenwärtig,DANC
geschmückt,DANC
gestaltet,DANC
grafisch,PROC
historisch,DANC
inMünchen,MISC
innerlich,DANC
international,PROC
iranischen,MISC
islamischen,MISC
islamisches,MISC
jüdische,MISC
klassisch,DANC
kommunistischer,MISC
konventionell,DANC
kopieren,PROC
krank,BODY
kritzeln,PROC
kürzen,PROC
lebendig,DANC
lernen,PROC
lieblich,DANC
luftig,DANC
modern,DANC
nationalsozialistischen,MISC
niederländischer,MISC
orientieren,PROC
original,DANC
poppig,DANC
populär,DANC
präzise,MOV
psychologisch,DANC
raffiniert,DANC
regelmässig,MOV
rund,DANC
russische,MISC
russischen,MISC
russischer,MISC
schnell,MOV
schottische,MISC
schweben,DANC
schwedische,MISC
schwungvoll,MOV
schön,DANC
selbstbestimmt,DANC
spanische,MISC
spanischen,MISC
staubig,DANC
steif,DANC
systematisieren,PROC
taZ,LOC
theatralisch,DANC
tippen,PROC
umrahmen,PROC
ungarischen,MISC
unprofessionell,DANC
unterricht,PROC
van Manen,PER
verwinkelt,MOV
zuChopin,LOC
zurückblättern,PROC
zweiten Weltkrieg,MISC
Ägypten,LOC
Ägyptern,LOC
Étoiles,ORG
Österreich,LOC
ÜBERALL,ORG
Übereinstimmung,DANC
Übergang,MOV
Überirdische,LOC
Überlieferung,PROC
Übertriebenes,PER
Übung,PROC
Übung macht,PROC
Übungen sind,PROC
à la Graham,PER
ägyptische,MISC
ästhetisch,DANC
übersetzen,PROC
​,LOC
‚Chladek,PER
